model,method,run,TP,FP,TN,FN,n_states,n_attractors,n_min_trap,update_scheme
n010_058.bnet,random_mc,9,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,10,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,11,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,12,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,13,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,14,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,15,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,16,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,17,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,18,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,19,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,20,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,21,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,22,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,23,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,24,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,25,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,26,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,27,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,28,1,0,255,0,256,1,1,asynchronous
n010_058.bnet,random_mc,29,1,0,255,0,256,1,1,asynchronous
n010_059.bnet,sd_mc,,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,null_mc,,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,ref,,4,124,0,0,128,4,4,asynchronous
n010_059.bnet,random_mc,0,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,1,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,2,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,3,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,4,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,5,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,6,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,7,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,8,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,9,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,10,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,11,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,12,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,13,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,14,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,15,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,16,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,17,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,18,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,19,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,20,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,21,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,22,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,23,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,24,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,25,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,26,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,27,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,28,4,0,124,0,128,4,4,asynchronous
n010_059.bnet,random_mc,29,4,0,124,0,128,4,4,asynchronous
n010_060.bnet,sd_mc,,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,null_mc,,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,ref,,3,1021,0,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,0,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,1,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,2,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,3,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,4,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,5,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,6,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,7,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,8,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,9,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,10,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,11,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,12,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,13,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,14,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,15,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,16,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,17,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,18,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,19,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,20,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,21,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,22,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,23,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,24,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,25,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,26,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,27,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,28,3,0,1021,0,1024,2,2,asynchronous
n010_060.bnet,random_mc,29,3,0,1021,0,1024,2,2,asynchronous
n010_061.bnet,sd_mc,,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,null_mc,,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,ref,,5,123,0,0,128,3,3,asynchronous
n010_061.bnet,random_mc,0,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,1,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,2,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,3,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,4,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,5,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,6,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,7,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,8,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,9,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,10,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,11,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,12,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,13,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,14,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,15,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,16,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,17,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,18,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,19,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,20,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,21,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,22,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,23,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,24,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,25,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,26,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,27,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,28,5,0,123,0,128,3,3,asynchronous
n010_061.bnet,random_mc,29,5,0,123,0,128,3,3,asynchronous
n010_062.bnet,sd_mc,,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,null_mc,,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,ref,,4,1020,0,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,0,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,1,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,2,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,3,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,4,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,5,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,6,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,7,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,8,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,9,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,10,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,11,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,12,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,13,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,14,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,15,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,16,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,17,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,18,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,19,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,20,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,21,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,22,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,23,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,24,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,25,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,26,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,27,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,28,4,0,1020,0,1024,1,1,asynchronous
n010_062.bnet,random_mc,29,4,0,1020,0,1024,1,1,asynchronous
n010_063.bnet,sd_mc,,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,null_mc,,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,ref,,2,30,0,0,32,2,2,asynchronous
n010_063.bnet,random_mc,0,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,1,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,2,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,3,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,4,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,5,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,6,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,7,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,8,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,9,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,10,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,11,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,12,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,13,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,14,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,15,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,16,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,17,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,18,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,19,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,20,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,21,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,22,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,23,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,24,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,25,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,26,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,27,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,28,2,0,30,0,32,2,2,asynchronous
n010_063.bnet,random_mc,29,2,0,30,0,32,2,2,asynchronous
n010_064.bnet,sd_mc,,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,null_mc,,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,ref,,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,0,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,1,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,2,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,3,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,4,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,5,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,6,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,7,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,8,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,9,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,10,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,11,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,12,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,13,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,14,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,15,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,16,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,17,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,18,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,19,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,20,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,21,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,22,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,23,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,24,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,25,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,26,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,27,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,28,48,16,0,0,64,1,1,asynchronous
n010_064.bnet,random_mc,29,48,16,0,0,64,1,1,asynchronous
n010_065.bnet,sd_mc,,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,null_mc,,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,ref,,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,0,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,1,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,2,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,3,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,4,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,5,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,6,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,7,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,8,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,9,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,10,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,11,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,12,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,13,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,14,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,15,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,16,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,17,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,18,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,19,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,20,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,21,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,22,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,23,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,24,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,25,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,26,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,27,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,28,16,0,0,0,16,1,1,asynchronous
n010_065.bnet,random_mc,29,16,0,0,0,16,1,1,asynchronous
n010_066.bnet,sd_mc,,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,null_mc,,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,ref,,3,1021,0,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,0,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,1,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,2,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,3,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,4,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,5,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,6,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,7,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,8,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,9,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,10,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,11,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,12,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,13,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,14,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,15,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,16,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,17,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,18,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,19,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,20,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,21,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,22,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,23,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,24,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,25,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,26,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,27,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,28,3,1,1020,0,1024,1,1,asynchronous
n010_066.bnet,random_mc,29,3,1,1020,0,1024,1,1,asynchronous
n010_067.bnet,sd_mc,,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,null_mc,,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,ref,,1,15,0,0,16,1,1,asynchronous
n010_067.bnet,random_mc,0,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,1,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,2,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,3,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,4,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,5,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,6,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,7,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,8,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,9,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,10,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,11,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,12,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,13,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,14,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,15,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,16,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,17,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,18,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,19,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,20,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,21,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,22,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,23,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,24,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,25,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,26,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,27,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,28,1,0,15,0,16,1,1,asynchronous
n010_067.bnet,random_mc,29,1,0,15,0,16,1,1,asynchronous
n010_068.bnet,sd_mc,,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,null_mc,,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,ref,,1,7,0,0,8,1,1,asynchronous
n010_068.bnet,random_mc,0,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,1,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,2,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,3,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,4,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,5,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,6,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,7,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,8,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,9,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,10,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,11,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,12,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,13,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,14,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,15,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,16,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,17,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,18,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,19,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,20,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,21,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,22,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,23,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,24,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,25,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,26,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,27,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,28,1,0,7,0,8,1,1,asynchronous
n010_068.bnet,random_mc,29,1,0,7,0,8,1,1,asynchronous
n010_069.bnet,sd_mc,,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,null_mc,,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,ref,,2,30,0,0,32,2,2,asynchronous
n010_069.bnet,random_mc,0,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,1,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,2,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,3,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,4,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,5,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,6,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,7,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,8,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,9,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,10,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,11,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,12,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,13,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,14,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,15,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,16,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,17,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,18,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,19,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,20,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,21,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,22,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,23,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,24,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,25,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,26,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,27,2,0,30,0,32,2,2,asynchronous
n010_069.bnet,random_mc,28,2,0,30,0,32,2,2,asynchronous
