bnet,method,run,rmsd,kld,TP,FP,TN,FN,n_states,n_attractors,update_scheme
n010_001.bnet,random_mc,14.0,0.2912654108879276,0.9729217048399939,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,15.0,0.29977005304027915,1.0318428068178869,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,16.0,0.29675053906284027,1.0105207462160113,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,17.0,0.30488968317976517,1.0661931384977463,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,18.0,0.2990500426470733,1.025390762081059,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,19.0,0.3010542979518569,1.0328466813543278,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,20.0,0.2953871684495682,1.0124889808383035,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,21.0,0.30150588993078564,1.0387395630914709,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,22.0,0.3015188675369548,1.043945257788999,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,23.0,0.29864058416804296,1.024756520628872,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,24.0,0.30230352823322093,1.048983271980306,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,25.0,0.29688300402609635,1.0157719320373446,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,26.0,0.301176944872304,1.0419639604421735,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,27.0,0.30191416887764727,1.0488411555266377,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,28.0,0.3035003065723503,1.0557713529902295,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,29.0,0.3020422215211776,1.0480980820117765,116,180,24,0,64,5,asynchronous
n010_004.bnet,sd_mc,,0.22992267446308898,0.3670680804380759,1294,179,575,0,512,4,asynchronous
n010_004.bnet,null_mc,,0.33836686596515914,0.881313655850859,1294,742,12,0,512,4,asynchronous
n010_004.bnet,ref,,0.34466888367994863,0.9148934639001611,1294,754,0,0,512,4,asynchronous
n010_004.bnet,random_mc,0.0,0.3371833289353099,0.8745765587298401,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,1.0,0.338514660841774,0.8813184210681938,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,2.0,0.33512088387126393,0.8624784005776827,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,3.0,0.3397002755989933,0.8884658898500564,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,4.0,0.3378002136758785,0.877896468988161,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,5.0,0.3391235684644215,0.8853388331711375,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,6.0,0.3379431633456736,0.879170429952914,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,7.0,0.3370618383169524,0.8740892999732838,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,8.0,0.33556551912400595,0.8648703011588899,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,9.0,0.338166102441048,0.8809579241689798,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,10.0,0.3389319830927717,0.8850693732476451,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,11.0,0.3433210998332454,0.9087485070106215,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,12.0,0.3383982290896689,0.8811932004757095,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,13.0,0.3365614350132967,0.8711230459610015,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,14.0,0.3359970380751911,0.8672939555021062,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,15.0,0.3399629782098291,0.8898585656418272,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,16.0,0.33724749519884883,0.8750974139783798,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,17.0,0.33706715396767395,0.875138020875402,1294,742,12,0,512,4,asynchronous
n010_004.bnet,random_mc,18.0,0.33670414500655604,0.8714581956624399,1294,742,12,0,512,4,asynchronous
